,AP amp,AP amp adapt,AP amp CV,AP thresh,AP width,AHP,ISI adapt,ISI CV,R_i,Max number of APs,Tau,Rebound,Vm,Rheobase,Sag,UDR
20191101sample1,67.92997755110264,0.8506333129173799,-2.8244034826485187,-17.370836809277534,2.0000000000000018,-17.903929576277736,0.3018828223105077,-1.5321615939406923,300.6715963631868,11,11.314835030766135,2.090287723582044,-48.50022611320018,40.00000000000001,1.1032127675021723,4.42402930829284
20191101sample2,95.64119204878807,0.8871125093005756,-1.7425820256824185,-31.7118801176548,1.7199999999999993,-6.125420331954956,0.35699316192073355,-1.679855089662675,218.46694390103218,14,12.702517471675858,1.454706386397859,-59.61793923825026,60.0,1.0757472116180151,4.293200462051129
20191108sample4,95.783531665802,0.8220048621847651,-2.393139060677221,-39.321761578321464,1.8000000000000238,-3.723852336406708,0.4291816347254799,-1.7698713556459775,201.9415176610152,13,11.259974006024516,2.044465369758811,-61.97172389999032,28.800000000000008,1.1105171397525684,4.775042500408527
20191108sample5,85.77816933393478,0.9608711753405758,-3.1968521505598506,-36.184929311275475,1.600000000000018,-3.858339041471481,0.19551961157299705,-2.0995253404265495,89.04743047058577,10,21.070725064920442,0.9049549854169,-54.54231714978814,41.36363636363637,1.052184970374115,4.030894430862826
20191108sample1,88.51181343197823,0.8203620993130727,-1.9435365599649106,-47.90614172816277,1.3200000000000016,-5.157649517059326,0.16251892949777438,-1.7415362762569555,145.46115354696911,20,9.60631790527787,1.766017666261142,-65.15649135559798,96.75675675675676,1.1214369029447522,3.1034472506074917
20191104sample2,88.77617120742798,0.8399320828888021,-2.013762554856541,-33.868610858917236,1.0000000000000009,-10.113611817359924,0.3418273790693817,-1.2622760956832815,343.48486607149243,22,13.544213791478267,4.968522151336813,-59.08990367501974,80.0,1.101639239631687,2.234657744097364
20191104sample4,72.14943878352642,0.9611612499182232,-1.4111864129141238,-42.41042584180832,0.6400000000000017,-16.811888664960858,0.03328597763346719,-1.6981353574261842,217.80752994865185,87,10.574916373496423,2.6431769306459643,-62.46895653903484,40.0,1.0209714910676582,1.3436730962841217
20191104sample1,88.25436793267727,0.8408832264588535,-1.42281870483341,-24.88493733108044,1.0000000000000009,-11.660570278763773,0.32482994825781103,-1.4434949968229045,238.28056714218116,23,28.34343559429509,6.0014571471098535,-49.71839755550028,46.9767441860465,1.3707267185712961,2.061085301825357
20191107sample3,85.67208051681519,0.8408528027804639,-1.1593989258451352,-30.31674027442932,0.8799999999999919,-8.106321096420286,0.09201889872025139,-1.08651343960917,220.89206010103226,24,25.267622348213283,4.714773921751203,-46.19274642765522,40.0,1.20245115307242,2.122716456997324
20191107sample2,75.50370134413242,0.9173451987726948,-2.4666334397434646,-29.74102832376957,1.1999999999999789,-10.389192029833792,0.3170396370813357,-1.244535698494554,333.51627510786057,21,16.401429133578905,6.590171844738585,-51.715480705350636,21.463414634146346,1.158667229806219,1.9525047500984196
