gene	20191001_sample_1_S1	20191001_sample_2_S3	20191001_sample_3_S5	20191001_sample_4_S7	20191001_sample_5_S9	20191001_sample_6_S11	20191003_sample_2_S13	20191003_sample_3_S15	20191003_sample_4_S17	20191003_sample_5_S19	20191003_sample_6_S21	20191010_sample_1_S2	20191010_sample_2_S4	20191010_sample_3_S6	20191010_sample_4_S8	20191010_sample_6_S10	20191010_sample_7_S12	20191028_sample_1_S14	20191028_sample_2_S16	20191028_sample_3_S18	20191028_sample_4_S20	20191028_sample_5_S22	20191030_sample_2_S24	20191030_sample_3_S26	20191030_sample_4_S28	20191030_sample_5_S30	20191101_sample_1_S32	20191101_sample_2_S34	20191101_sample_3_S36	20191101_sample_4_S38	20191101_sample_5_S40	20191101_sample_6_S23	20191104_sample_1_S25	20191104_sample_2_S27	20191104_sample_3_S29	20191104_sample_4_S31	20191105_sample_1_S33	20191105_sample_2_S35	20191105_sample_3_S37	20191105_sample_4_S39	20191105_sample_5_S41	20191106_sample_2_S42	20191106_sample_3_S44	20191106_sample_5_S46	20191107_sample_1_S48	20191107_sample_2_S50	20191107_sample_3_S52	20191107_sample_4_S54	20191108_sample_1_S56	20191108_sample_4_S58	20191108_sample_5_S60	20191114_sample_1_S43	20191114_sample_2_S45	20191114_sample_3_S47	20191114_sample_4_S49	20191114_sample_5_S51	20191114_sample_7_S53	20191114_sample_8_S55	20191114_sample_9_S57	BLANK_1_S59	BLANK_2_S61	BLANK_3_S62	Undetermined_S0
3010003L21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zfas1	0	0	0	0	0	0	68	0	11	24	118	948	4	77	192	1403	78	198	0	572	0	0	0	423	0	230	60	106	0	0	0	208	0	37	1	242	0	108	125	0	12	37	51	400	159	396	172	0	284	141	40	362	0	0	169	0	117	0	0	0	0	0	231
Mr1	0	0	0	1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
Gch1	0	0	0	0	0	0	0	0	0	0	0	0	396	1	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
4930441H08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8430430B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Slc45a4	0	0	0	113	0	0	52	0	0	950	0	0	102	0	160	1083	21	144	0	501	0	0	0	1099	0	260	0	302	1	2	0	344	0	0	0	0	0	0	0	223	0	128	0	0	0	0	0	0	0	0	0	1	0	90	0	0	0	0	0	0	0	0	182
Spn	0	0	0	0	0	21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spink1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ubqln5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poteg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir7229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnase10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eya4	0	0	0	0	16	318	0	0	0	0	0	0	65	0	0	417	0	11	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
Olfr297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr968	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nr4a2	0	0	0	0	0	0	0	0	0	0	259	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	493	0	0	0	0	0	0	1	229	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	512	21	0	0	0	0	45
Mbd5	0	0	0	259	96	0	1	0	1491	0	0	1025	0	92	67	1456	84	105	0	152	0	6	576	127	0	137	1760	884	0	0	0	0	0	0	0	629	1	0	0	0	1	2138	3	0	0	1908	73	505	0	1	0	77	0	124	0	0	802	0	0	0	0	0	486
Klhdc2	126	0	0	1	96	728	1	12	0	4860	253	22	2682	2521	428	8230	168	332	0	42	0	4	0	1	1588	18	2031	0	3	0	4848	472	14	1	1	411	609	1	2378	5	1465	3487	97	778	0	1164	1	0	1145	0	1	0	0	447	173	0	0	1	1749	0	0	0	1365
Nkpd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	16
Mapk1ip1	0	0	0	0	0	1	0	335	0	676	278	14	0	4	0	0	0	17	0	0	0	0	0	605	0	1	1	0	2	0	0	0	0	0	1	0	651	0	0	735	64	1	0	15	0	510	524	0	0	0	187	0	0	0	440	0	0	0	0	0	0	0	147
