gene	20191001_sample_1_S1	20191001_sample_2_S3	20191001_sample_3_S5	20191001_sample_4_S7	20191001_sample_5_S9	20191001_sample_6_S11	20191003_sample_2_S13	20191003_sample_3_S15	20191003_sample_4_S17	20191003_sample_5_S19	20191003_sample_6_S21	20191010_sample_1_S2	20191010_sample_2_S4	20191010_sample_3_S6	20191010_sample_4_S8	20191010_sample_6_S10	20191010_sample_7_S12	20191028_sample_1_S14	20191028_sample_2_S16	20191028_sample_3_S18	20191028_sample_4_S20	20191028_sample_5_S22	20191030_sample_2_S24	20191030_sample_3_S26	20191030_sample_4_S28	20191030_sample_5_S30	20191101_sample_1_S32	20191101_sample_2_S34	20191101_sample_3_S36	20191101_sample_4_S38	20191101_sample_5_S40	20191101_sample_6_S23	20191104_sample_1_S25	20191104_sample_2_S27	20191104_sample_3_S29	20191104_sample_4_S31	20191105_sample_1_S33	20191105_sample_2_S35	20191105_sample_3_S37	20191105_sample_4_S39	20191105_sample_5_S41	20191106_sample_2_S42	20191106_sample_3_S44	20191106_sample_5_S46	20191107_sample_1_S48	20191107_sample_2_S50	20191107_sample_3_S52	20191107_sample_4_S54	20191108_sample_1_S56	20191108_sample_4_S58	20191108_sample_5_S60	20191114_sample_1_S43	20191114_sample_2_S45	20191114_sample_3_S47	20191114_sample_4_S49	20191114_sample_5_S51	20191114_sample_7_S53	20191114_sample_8_S55	20191114_sample_9_S57	BLANK_1_S59	BLANK_2_S61	BLANK_3_S62	Undetermined_S0
Troap	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ak4	0	0	0	0	0	0	0	0	0	0	0	778	0	142	0	0	0	0	0	0	0	1	0	0	0	0	2115	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	91
Lrrn3	0	0	0	0	0	378	0	0	0	0	0	1	451	10	132	422	0	0	0	1940	0	0	10	0	0	1	0	0	0	2596	7065	0	1	2	0	0	0	0	0	0	144	0	3287	0	0	0	0	0	95	1	2	1	0	1691	0	0	2	0	1281	0	0	0	565
Pgd	0	0	0	566	0	328	0	283	0	265	0	0	357	100	5	511	0	188	0	0	0	0	0	0	0	0	298	0	0	0	0	2	0	1	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	270	0	358	0	0	0	0	0	0	0	0	124
Pde2a	158	0	2317	982	8	522	1026	317	5018	7521	353	355	7365	716	0	4001	1611	547	0	446	0	0	4	622	0	655	2250	0	1462	1	1052	218	3	3	0	556	6	1	2332	2184	2735	0	1307	1	0	506	2779	288	1	0	1	1	0	871	39	1	1056	842	2934	1	0	1	1550
Fignl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morn3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adora1	0	0	0	0	0	298	0	0	0	0	1053	0	2210	1639	0	1025	301	0	0	1	0	0	0	914	0	0	0	0	3	0	1	14	0	1	0	0	2	0	0	0	229	128	29	0	0	21	0	1	970	0	25	0	0	459	0	4	130	0	0	0	0	0	236
Tpd52l2	903	0	0	0	92	0	0	0	0	20	14	2	2937	869	0	408	12	776	0	0	0	4	0	6	0	61	0	0	0	0	723	158	0	0	0	0	0	0	606	0	384	1809	0	1234	0	0	0	0	265	0	0	4	0	0	0	0	0	0	13	0	0	0	428
Mef2a	122	0	825	1049	42	1	0	284	0	624	885	1209	1021	1536	62	2502	131	33	0	783	0	4	0	151	0	7	3991	0	980	9	1	5	0	2	0	1	0	0	2482	1409	266	1806	0	3246	0	2764	154	2	2630	4063	11	751	0	734	0	0	737	0	1	1	0	0	1133
Zfp712	0	0	0	0	0	0	0	0	71	0	0	0	0	67	821	1361	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1237	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114
Fam129c	0	0	0	0	209	0	0	0	0	0	42	0	0	0	0	0	58	0	0	0	0	0	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	21
Atp5g3	285	272	402	756	14	213	371	201	51	2525	167	232	3301	2190	126	2183	198	279	64	23	1	6	107	115	790	21	2240	0	176	461	2198	10	8	0	0	226	288	39	501	445	533	1342	214	483	0	1721	571	2	325	95	49	21	1	0	2	1	0	293	602	1	0	0	883
Gas2	0	0	0	0	0	0	0	0	0	0	554	0	0	0	0	1276	0	0	0	621	0	0	0	293	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3266	0	0	0	0	0	0	0	504	0	0	0	0	0	0	0	0	0	0	0	1	0	0	243
Apoa5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pifo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Med10	450	240	0	0	217	0	0	0	0	0	151	0	163	157	12	543	0	0	0	0	0	3	2	484	0	0	168	1411	258	1501	2171	369	0	0	0	0	0	0	1	0	50	914	413	0	0	0	203	0	0	1	0	54	0	200	0	0	0	0	223	0	0	0	350
Kif22	0	0	0	0	49	0	0	0	0	0	0	7	2	23	0	0	0	0	0	0	0	0	0	2	0	0	0	0	216	0	0	0	0	0	0	0	0	39	0	0	0	0	2	0	0	0	1	30	3	0	20	0	0	0	0	0	0	0	0	0	0	0	11
C130079G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mia2	0	0	653	1484	0	905	0	0	0	522	87	726	99	841	484	1549	826	405	0	110	0	0	0	55	0	1131	732	0	0	3150	2	1093	0	1	0	395	0	0	0	0	82	0	64	1451	0	0	59	0	0	0	0	2	0	45	0	0	58	0	0	0	0	0	445
Olfr9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifi44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trafd1	471	0	95	0	2	0	0	460	1509	219	0	700	280	865	0	272	5	112	0	37	0	0	0	1026	1066	43	1644	429	1	1187	75	0	0	4	0	1	2	156	804	8	65	1	338	1	1	0	0	8	0	0	102	78	0	509	0	0	1251	412	0	0	0	0	553
Tmem179b	0	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	3	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	25
Krt80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	697	3136	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2364	0	0	0	194
Armc8	0	1	1	423	0	0	1	11	0	2533	84	167	3225	2059	0	212	273	491	1	894	0	24	0	2	0	11	100	3409	2	394	1421	3444	0	0	0	0	0	0	12	0	389	8281	0	118	0	4097	0	6	1406	4148	325	1	0	604	0	0	0	12	4060	0	0	1	1524
Rflnb	0	0	512	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45
Mgrn1	0	0	660	421	0	59	0	450	0	2965	151	23	725	733	0	3156	446	0	0	539	0	0	0	704	0	283	980	119	238	629	1752	1269	0	0	0	2593	104	1	37	174	575	0	540	1599	0	712	837	241	0	535	1	477	0	40	0	1	122	9	0	0	0	0	744
C530005A16Rik	0	0	0	0	0	0	0	0	0	0	0	0	2	345	0	795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1079	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
Katnbl1	0	0	38	0	160	0	0	0	15	0	20	760	1	1196	0	0	0	427	0	63	0	0	2	243	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118
Gm21693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacnb2	34	0	0	10	0	0	0	34	407	29	25	0	36	66	89	147	20	28	0	0	0	0	0	0	0	93	0	171	1	14	123	0	0	0	0	0	0	1	109	0	0	0	0	0	0	171	0	0	0	0	176	229	0	132	0	0	28	0	0	0	0	0	55
Gm5860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skp2	0	0	0	0	0	0	0	4	0	107	36	0	0	633	40	0	494	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	1	0	0	0	0	0	0	0	105	0	0	0	0	32	0	0	0	0	0	47
Pth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnmb4	0	0	0	50	51	0	0	0	0	0	0	1	0	11	0	0	0	0	140	0	0	0	0	41	0	0	0	55	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	6
Gm4013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Tbc1d31	0	0	0	0	0	0	0	0	0	4	0	0	1465	0	0	0	0	0	0	2081	0	0	0	519	0	0	0	0	0	369	41	0	0	0	0	0	0	0	0	476	119	0	0	0	0	0	0	0	0	0	664	0	0	0	0	0	0	0	0	1	0	0	198
Mir5110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir5108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ereg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ercc1	0	0	26	0	0	0	0	0	0	459	0	0	170	121	0	0	0	225	0	0	0	0	0	128	0	5	933	18	1	0	0	1	32	0	0	232	3	0	0	157	50	0	52	0	0	588	0	0	242	0	0	146	0	0	0	1	405	61	0	0	0	0	117
Lcn5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eef2k	2	0	287	0	0	0	344	0	0	0	0	322	1184	502	805	0	264	0	0	2103	0	0	0	0	0	21	0	41	0	0	1	1	0	624	0	1295	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	818	0	327	0	0	0	0	0	281
Pdia3	0	0	979	2557	1477	1248	1362	0	1919	3375	2405	286	4295	33	0	6680	3525	1235	0	0	0	1	1749	20	0	4	1302	1335	0	434	0	3034	0	5	0	1	0	1	2256	0	931	350	2498	0	0	808	950	456	55	0	1	1095	0	1269	0	0	17	275	1	0	0	0	1552
Eef1a2	1188	0	1	967	132	0	0	237	0	44	14	907	1157	742	565	94	564	0	576	273	0	2	8	3	32	324	729	697	544	151	1010	137	4	0	0	0	165	16	1	1128	440	54	2079	1193	0	869	1	0	90	0	229	173	0	270	0	0	2336	137	12	1	0	0	660
Hcfc1	330	0	97	72	691	144	0	287	1033	1371	482	696	44	406	251	1013	101	53	0	1214	1	0	0	1007	0	1	1619	25	90	343	0	0	0	1	0	0	0	897	3073	692	229	0	445	474	0	1021	669	488	0	0	541	34	0	516	441	0	0	32	0	0	1	0	631
Mir1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd2bp2	1	0	65	0	0	723	0	1	935	1240	518	2495	1592	190	18	949	584	46	0	0	0	6	0	737	0	0	0	0	3	0	1013	0	0	0	0	0	5	0	0	0	447	1840	0	1269	0	0	618	0	4	0	220	0	0	0	0	0	989	0	0	0	0	1	462
Ptpdc1	892	0	73	0	0	0	0	494	271	1	0	222	0	214	110	0	0	0	0	0	0	0	0	0	0	1409	0	1	0	0	490	2	0	0	0	1125	0	0	210	0	102	0	0	0	0	0	0	223	0	0	232	0	0	0	0	0	0	0	0	0	0	0	228
Adra2c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam8	0	0	0	0	0	0	0	356	1097	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	44
Erg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Oaz1	1	0	0	0	0	0	0	0	0	0	0	0	1	5	0	14	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2
Mir7002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6998	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Ap3m2	0	0	176	705	462	977	419	0	199	0	1	25	1665	1621	0	2922	669	0	0	448	0	9	71	885	43	2	3667	0	0	2	1046	318	0	0	1	1999	0	2327	8	3	478	3539	0	2664	0	1595	155	114	0	932	390	0	0	0	949	0	215	192	2228	0	0	0	1121
Tnnt2	0	0	0	0	0	0	0	0	0	0	59	0	0	417	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
Slc30a3	1608	0	422	350	463	271	0	443	443	1138	0	754	1065	565	4	589	0	0	0	452	0	0	3	0	0	239	289	0	0	0	0	0	0	2	0	0	1	761	1213	406	931	0	840	0	0	0	288	9	0	0	112	0	1	326	0	0	1	345	0	0	0	0	477
Ddc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cts3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps35l	500	35	278	0	72	562	453	25	6	2759	0	3091	0	48	128	2059	0	1053	0	1190	22	0	1105	294	0	0	17	431	817	0	4	0	0	0	3	528	1	0	0	0	139	134	1373	0	0	36	0	478	1101	0	0	0	0	0	603	0	0	0	0	0	0	0	573
Cldn18	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acss2	853	0	464	642	1	0	0	0	23	1714	0	1917	2074	112	355	3666	433	606	0	1306	1	0	0	0	0	2	0	0	0	0	0	0	0	0	3	653	0	0	2	2544	195	0	726	0	0	0	0	0	139	0	0	0	0	0	990	0	0	0	0	0	0	0	602
Paxbp1	80	1	344	486	1453	1	0	1024	0	52	1	129	709	387	0	358	1263	0	0	144	0	0	0	426	0	707	2	0	0	67	1	2166	0	3	0	3016	1	1	1	1	47	0	14	0	0	0	568	0	0	0	6	51	0	626	86	1	668	254	0	0	0	0	422
Nob1	0	0	0	0	0	0	0	6	682	1179	0	688	0	207	0	0	434	0	0	0	0	0	0	328	0	0	1594	0	0	1122	14	888	0	0	3	0	0	3	0	0	239	0	0	0	0	0	1	0	0	1	23	20	0	10	463	1	0	1042	0	0	0	0	291
Gnb3	0	0	0	0	67	2	0	0	0	0	0	1	0	25	0	0	178	13	0	0	0	0	0	0	0	1780	26	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	85	0	0	1	0	5	0	0	0	0	0	0	0	0	431	0	0	0	0	0	72
Ogfod3	43	0	285	341	1	0	0	8	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	48
Fam229a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	13	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinh1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Glyatl3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prom1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	5
Pde9a	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2783	0	2	0	1514	3	0	0	1	0	0	239	0	0	0	2	0	0	0	0	0	0	0	0	2093	111	1099	0	0	0	0	1	0	0	12	357	0	0	0	0	0	0	0	0	0	0	1	340
Fundc2	0	0	0	0	0	0	0	0	1	31	0	375	5245	1706	48	2085	0	0	0	1	0	0	0	0	0	0	875	0	0	2	0	0	740	0	0	751	0	0	5	0	127	0	0	0	0	1126	750	7	959	407	0	3	1033	0	578	0	0	0	2068	0	0	0	485
C1qtnf12	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	281	0	0	0	0	241	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	36
Rab5if	0	0	3	405	0	0	452	0	0	0	0	0	867	1563	23	3589	0	0	0	890	0	0	1	1	1327	15	1382	527	751	0	766	124	0	616	0	4	1466	0	1	1	402	144	0	840	1065	257	727	1	555	0	1	346	0	122	0	0	2	12	602	0	0	0	612
Hmgn3	548	0	94	9	341	0	0	45	397	617	202	1178	1235	1090	865	917	1293	0	0	1006	0	2	0	2997	0	946	588	354	0	2	22	6	0	0	0	5	2	874	7	1906	122	104	249	290	0	590	386	303	22	0	280	1129	0	273	0	0	813	476	944	0	0	0	749
Pop4	0	0	0	0	376	0	0	0	0	0	0	0	1891	0	357	858	0	399	458	0	0	0	3	468	0	0	21	0	0	307	2169	352	1	2	0	999	652	0	0	0	154	0	138	0	0	0	459	0	0	0	1	5	1	336	0	0	523	0	0	0	0	0	302
Carnmt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	59	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Med4	0	0	0	0	0	44	0	0	62	441	0	129	961	281	0	0	0	95	0	0	0	2	83	9	0	0	683	198	2	742	863	0	0	0	0	0	0	0	0	0	36	962	0	0	0	0	1	0	0	1317	18	0	0	0	0	0	318	26	0	0	0	0	330
Clcc1	479	0	0	0	12	439	0	0	1323	0	194	0	0	1343	0	0	0	0	0	0	0	0	0	277	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	212	149	0	18	0	0	0	0	475	0	0	0	18	0	0	0	0	1	0	0	2	0	0	133
Magea2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsc2	0	0	34	0	90	0	0	8	1	107	0	1453	1024	3	0	740	55	0	0	102	0	1	144	0	0	36	1415	104	1	1542	0	415	0	0	0	3	0	4	1217	306	320	0	0	409	0	933	0	7	151	499	0	217	0	0	0	0	0	606	1	0	0	0	379
Cux1	0	0	1	14	0	1	0	1	0	88	5	0	3343	254	437	641	0	0	0	0	0	0	0	1	0	1235	0	1	727	0	0	0	0	0	0	0	0	0	177	35	52	0	2	580	0	0	0	466	12	4	1	0	0	32	14	0	1	0	0	0	0	0	211
Sema4b	14	0	55	7	0	0	0	4	66	818	2	1	197	0	8	11	332	0	0	20	0	0	0	4	0	0	0	3	946	84	0	0	11	0	0	43	0	6	15	28	0	0	2	0	0	0	0	0	0	0	0	822	0	1	0	0	0	14	0	0	0	0	94
4930473A02Rik	0	0	1	0	0	0	0	1	0	0	66	0	5	5	16	31	0	0	0	0	0	0	0	61	0	16	0	8	0	0	5	0	0	0	0	22	2	0	0	0	2	9	0	5	0	1	27	0	2	5	3	0	0	0	0	0	4	1	0	0	0	0	13
Krtap4-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clec9a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pja1	3038	1	817	0	0	1601	1	798	4013	10876	4	2486	7115	6187	0	3900	3576	3	0	1836	0	21	5	730	0	15	2975	3616	0	364	2197	18	2	2	0	1670	4	0	4507	4355	3252	7312	1433	3912	0	8100	824	619	0	873	473	979	3	1125	0	0	965	0	0	0	0	0	3100
